timestamp,value,status
2025-08-15T00:54:52.832688,246277,DISCHARGING
2025-08-15T00:54:53.890395,409546,DISCHARGING
2025-08-15T00:54:54.958704,518799,DISCHARGING
2025-08-15T00:54:56.038949,369568,DISCHARGING
2025-08-15T00:54:57.113300,409546,DISCHARGING
2025-08-15T00:54:58.169083,427856,DISCHARGING
2025-08-15T00:54:59.237594,285034,DISCHARGING
2025-08-15T00:55:00.311948,484009,DISCHARGING
2025-08-15T00:55:01.388962,526733,DISCHARGING
2025-08-15T00:55:02.444465,443725,DISCHARGING
2025-08-15T00:55:03.516188,480652,DISCHARGING
2025-08-15T00:55:04.573310,402832,DISCHARGING
2025-08-15T00:55:05.663342,291443,DISCHARGING
2025-08-15T00:55:06.727945,256042,DISCHARGING
2025-08-15T00:55:07.795166,258484,DISCHARGING
2025-08-15T00:55:08.858706,155944,DISCHARGING
2025-08-15T00:55:09.933786,238037,DISCHARGING
2025-08-15T00:55:10.997967,167846,DISCHARGING
2025-08-15T00:55:12.080072,300903,DISCHARGING
2025-08-15T00:55:13.134922,161438,DISCHARGING
2025-08-15T00:55:14.201508,240173,DISCHARGING
2025-08-15T00:55:15.268107,190124,DISCHARGING
2025-08-15T00:55:16.336292,231018,DISCHARGING
2025-08-15T00:55:17.418778,179443,DISCHARGING
2025-08-15T00:55:18.504705,203247,DISCHARGING
2025-08-15T00:55:19.576826,183105,DISCHARGING
2025-08-15T00:55:20.662806,346985,DISCHARGING
2025-08-15T00:55:21.736610,380554,DISCHARGING
2025-08-15T00:55:22.825452,341186,DISCHARGING
2025-08-15T00:55:23.897042,462951,DISCHARGING
2025-08-15T00:55:24.965643,208435,DISCHARGING
2025-08-15T00:55:26.035692,245666,DISCHARGING
2025-08-15T00:55:27.105259,179138,DISCHARGING
2025-08-15T00:55:28.177625,209045,DISCHARGING
2025-08-15T00:55:29.247236,190735,DISCHARGING
2025-08-15T00:55:30.320272,283813,DISCHARGING
2025-08-15T00:55:31.373744,225525,DISCHARGING
2025-08-15T00:55:32.455505,179138,DISCHARGING
2025-08-15T00:55:33.540661,220031,DISCHARGING
2025-08-15T00:55:34.615168,191650,DISCHARGING
2025-08-15T00:55:35.695435,366516,DISCHARGING
2025-08-15T00:55:36.756321,261230,DISCHARGING
2025-08-15T00:55:37.812041,331726,DISCHARGING
2025-08-15T00:55:38.878215,158691,DISCHARGING
2025-08-15T00:55:39.953750,294494,DISCHARGING
2025-08-15T00:55:41.042539,469360,DISCHARGING
2025-08-15T00:55:42.124969,380249,DISCHARGING
2025-08-15T00:55:43.196222,401611,DISCHARGING
2025-08-15T00:55:44.262218,343323,DISCHARGING
2025-08-15T00:55:45.332122,210266,DISCHARGING
2025-08-15T00:55:46.392797,200195,DISCHARGING
2025-08-15T00:55:47.453752,182190,DISCHARGING
2025-08-15T00:55:48.547196,157470,DISCHARGING
2025-08-15T00:55:49.619990,160827,DISCHARGING
2025-08-15T00:55:50.694639,169677,DISCHARGING
