timestamp,value,status
2025-08-15T00:54:52.832688,36.9,DISCHARGING
2025-08-15T00:56:36.954091,36.2,DISCHARGING
2025-08-15T00:57:22.618687,36.3,DISCHARGING
2025-08-15T00:57:33.331853,36.4,DISCHARGING
2025-08-15T00:59:03.402056,36.6,DISCHARGING
2025-08-15T00:59:04.470967,36.7,DISCHARGING
2025-08-15T01:03:05.428001,35.9,DISCHARGING
2025-08-15T01:03:18.452320,35.8,DISCHARGING
2025-08-15T01:05:36.527508,34.8,DISCHARGING
2025-08-15T01:05:46.210870,34.7,DISCHARGING
2025-08-15T01:05:53.777459,34.6,DISCHARGING
2025-08-15T01:05:55.934039,34.6,NOT_CHARGING
2025-08-15T01:05:57.021828,34.3,CHARGING
2025-08-15T01:05:58.107633,34.6,CHARGING
2025-08-15T01:05:59.297435,34.3,CHARGING
2025-08-15T01:06:00.446026,34.5,CHARGING
2025-08-15T01:06:01.503964,34.4,CHARGING
2025-08-15T01:06:02.563659,34.3,CHARGING
2025-08-15T01:06:03.721748,33.9,CHARGING
2025-08-15T01:06:25.110108,34.6,CHARGING
2025-08-15T01:06:46.555957,35.3,CHARGING
2025-08-15T01:06:56.262264,35.6,CHARGING
2025-08-15T01:06:57.330486,35.5,CHARGING
2025-08-15T01:06:59.447219,35.6,CHARGING
2025-08-15T01:07:24.088094,35.9,CHARGING
2025-08-15T01:07:26.212325,36.0,CHARGING
2025-08-15T01:07:56.313414,36.2,CHARGING
2025-08-15T01:08:04.916844,36.3,CHARGING
2025-08-15T01:08:13.539409,36.4,CHARGING
2025-08-15T01:08:56.601022,36.7,CHARGING
2025-08-15T01:09:53.624061,37.4,CHARGING
2025-08-15T01:10:16.241719,37.6,CHARGING
2025-08-15T01:10:43.859347,37.8,CHARGING
2025-08-15T01:10:56.626411,37.9,CHARGING
2025-08-15T01:11:05.296000,38.0,CHARGING
2025-08-15T01:11:21.356512,38.3,CHARGING
2025-08-15T01:11:34.235598,38.4,CHARGING
2025-08-15T01:11:42.930760,38.5,CHARGING
2025-08-15T01:11:56.843725,38.7,CHARGING
